,id,name,city,latitude,longitude,dpcapacity,online_date,date
382,100,Orleans St & Merchandise Mart Plaza,Chicago,41.888243,-87.63639,31,7/15/2013 17:26:19,2013-07-15 17:26:19
383,212,Orleans St & Ohio St,Chicago,41.892154,-87.636928,23,8/14/2013 17:16:56,2013-08-14 17:16:56
384,16,Paulina Ave & North Ave,Chicago,41.910337,-87.67007199999999,15,6/22/2013 18:55:29,2013-06-22 18:55:29
385,205,Paulina St & 18th St,Chicago,41.857901,-87.668745,15,8/13/2013 16:01:13,2013-08-13 16:01:13
387,297,Paulina St & Montrose Ave,Chicago,41.961507,-87.671387,15,9/18/2013 11:00:26,2013-09-18 11:00:26
388,134,Peoria St & Jackson Blvd,Chicago,41.877749,-87.649633,19,7/18/2013 22:48:24,2013-07-18 22:48:24
392,254,Pine Grove Ave & Irving Park Rd,Chicago,41.954383,-87.648043,15,8/31/2013 09:03:15,2013-08-31 09:03:15
393,232,Pine Grove Ave & Waveland Ave,Chicago,41.949275,-87.646303,23,8/20/2013 11:09:28,2013-08-20 11:09:28
395,204,Prairie Ave & Garfield Blvd,Chicago,41.794853,-87.618691,15,8/13/2013 15:14:35,2013-08-13 15:14:35
402,136,Racine Ave & 13th St,Chicago ,41.865054,-87.656959,15,7/18/2013 22:52:50,2013-07-18 22:52:50
403,274,Racine Ave & 15th St,Chicago,41.861267,-87.656625,15,9/10/2013 10:45:55,2013-09-10 10:45:55
404,15,Racine Ave & 18th St,Chicago,41.858166,-87.65649499999999,15,6/22/2013 18:35:45,2013-06-22 18:35:45
408,226,Racine Ave & Belmont Ave,Chicago,41.939743,-87.658865,15,8/19/2013 09:29:55,2013-08-19 09:29:55
